"stage","type","severity","term","est_mean","est_sd","true","clean_est_mean","diff_from_clean"
"prepared","impl","mild","log_assets",-0.0771203092030159,0.0454962389915361,-0.2,-0.279372980447618,0.202252671244602
"impaired","impl","mild","log_assets",-0.00433111532048898,0.0044197199384302,-0.2,-0.279372980447618,0.275041865127129
"prepared","impl","severe","log_assets",-0.00377512292786722,0.00191895555852151,-0.2,-0.279372980447618,0.27559785751975
"impaired","impl","severe","log_assets",-0.00255908245741217,0.00239237766018861,-0.2,-0.279372980447618,0.276813897990206
"prepared","mar","mild","log_assets",-0.247103389857778,0.0469723054499466,-0.2,-0.279372980447618,0.0322695905898397
"impaired","mar","mild","log_assets",-0.270957888546092,0.0474359638669958,-0.2,-0.279372980447618,0.00841509190152562
"prepared","mar","severe","log_assets",-0.276572701007724,0.0458339086513239,-0.2,-0.279372980447618,0.00280027943989386
"impaired","mar","severe","log_assets",-0.296554342678378,0.072595467972163,-0.2,-0.279372980447618,-0.0171813622307599
"prepared","mcar","mild","log_assets",-0.203884151465665,0.0406777978130173,-0.2,-0.279372980447618,0.0754888289819531
"impaired","mcar","mild","log_assets",-0.271674547109206,0.0613133565394453,-0.2,-0.279372980447618,0.00769843333841153
"prepared","mcar","severe","log_assets",-0.182625892601277,0.0590324763583383,-0.2,-0.279372980447618,0.0967470878463404
"impaired","mcar","severe","log_assets",-0.220675347913421,0.154794251611547,-0.2,-0.279372980447618,0.058697632534197
"prepared","mnar","mild","log_assets",-0.239688687359761,0.0501328012424726,-0.2,-0.279372980447618,0.039684293087857
"impaired","mnar","mild","log_assets",-0.268444599421981,0.057424391419366,-0.2,-0.279372980447618,0.010928381025637
"prepared","mnar","severe","log_assets",-0.243405704431594,0.0475218322711846,-0.2,-0.279372980447618,0.0359672760160235
"impaired","mnar","severe","log_assets",-0.260574797741773,0.109518799206968,-0.2,-0.279372980447618,0.0187981827058448
"prepared","noise","mild","log_assets",-0.197612787327004,0.0414020529738773,-0.2,-0.279372980447618,0.0817601931206136
"impaired","noise","mild","log_assets",-0.237940961698677,0.04203557402591,-0.2,-0.279372980447618,0.0414320187489409
"prepared","noise","severe","log_assets",-0.0944161424746039,0.0161531475520559,-0.2,-0.279372980447618,0.184956837973014
"impaired","noise","severe","log_assets",-0.100236178914273,0.0178871954679527,-0.2,-0.279372980447618,0.179136801533344
"clean","clean","none","sector_2",0.503113744647583,0.0859257295456231,0.4,0.503113744647583,0
"prepared","impl","mild","sector_2",0.178703241164866,0.106218541093126,0.4,0.503113744647583,-0.324410503482717
"impaired","impl","mild","sector_2",0.134211435579911,0.0886319011587958,0.4,0.503113744647583,-0.368902309067673
"prepared","impl","severe","sector_2",0.131250753854997,0.0910371829169376,0.4,0.503113744647583,-0.371862990792586
"impaired","impl","severe","sector_2",0.135535556890797,0.0906186810361364,0.4,0.503113744647583,-0.367578187756786
"prepared","mar","mild","sector_2",0.453655870390994,0.0894757996452557,0.4,0.503113744647583,-0.0494578742565894
"impaired","mar","mild","sector_2",0.509575344666261,0.0926050330112496,0.4,0.503113744647583,0.00646160001867724
"prepared","mar","severe","sector_2",0.507924735050304,0.0900640476736321,0.4,0.503113744647583,0.00481099040272026
"impaired","mar","severe","sector_2",0.475578557532073,0.0843565089166149,0.4,0.503113744647583,-0.0275351871155101
"prepared","mcar","mild","sector_2",0.368000326866969,0.0925377677529591,0.4,0.503113744647583,-0.135113417780615
"impaired","mcar","mild","sector_2",0.470455546803878,0.0874686171083119,0.4,0.503113744647583,-0.0326581978437056
"prepared","mcar","severe","sector_2",0.274950409342672,0.0828071249277711,0.4,0.503113744647583,-0.228163335304911
"impaired","mcar","severe","sector_2",0.707710086960855,0.1443368626167,0.4,0.503113744647583,0.204596342313271
"prepared","mnar","mild","sector_2",0.375568697163358,0.0860366577887905,0.4,0.503113744647583,-0.127545047484225
"impaired","mnar","mild","sector_2",0.49649092894691,0.0748215113938417,0.4,0.503113744647583,-0.0066228157006733
"prepared","mnar","severe","sector_2",0.35056002180673,0.0858036885067824,0.4,0.503113744647583,-0.152553722840854
"impaired","mnar","severe","sector_2",0.489306894927497,0.0980408487242633,0.4,0.503113744647583,-0.0138068497200863
"prepared","noise","mild","sector_2",0.39119790024623,0.0915496800024437,0.4,0.503113744647583,-0.111915844401354
"impaired","noise","mild","sector_2",0.462587544036036,0.0916083312755446,0.4,0.503113744647583,-0.0405262006115469
"prepared","noise","severe","sector_2",0.262226554079823,0.0958980004879294,0.4,0.503113744647583,-0.240887190567761
"impaired","noise","severe","sector_2",0.301847701753483,0.0913423177319299,0.4,0.503113744647583,-0.201266042894101
"clean","clean","none","sector_3",0.194585357992859,0.107616675534149,0.18,0.194585357992859,0
"prepared","impl","mild","sector_3",0.0200870967572754,0.118148525479617,0.18,0.194585357992859,-0.174498261235584
"impaired","impl","mild","sector_3",-0.01243408326918,0.111003948451823,0.18,0.194585357992859,-0.207019441262039
"prepared","impl","severe","sector_3",-0.0138947896172907,0.110130772107577,0.18,0.194585357992859,-0.20848014761015
"impaired","impl","severe","sector_3",-0.0124913596675081,0.111394877008217,0.18,0.194585357992859,-0.207076717660367
"prepared","mar","mild","sector_3",0.160502086944506,0.107599926487735,0.18,0.194585357992859,-0.0340832710483527
"impaired","mar","mild","sector_3",0.203672950276386,0.114352106470788,0.18,0.194585357992859,0.00908759228352665
"prepared","mar","severe","sector_3",0.184226950336948,0.110833511549773,0.18,0.194585357992859,-0.0103584076559113
"impaired","mar","severe","sector_3",0.170897084438066,0.111190616833499,0.18,0.194585357992859,-0.0236882735547929
"prepared","mcar","mild","sector_3",0.11589420280009,0.10858129132204,0.18,0.194585357992859,-0.0786911551927694
"impaired","mcar","mild","sector_3",0.167172399115652,0.127992985778176,0.18,0.194585357992859,-0.0274129588772073
"prepared","mcar","severe","sector_3",0.0694147669149227,0.104369776616661,0.18,0.194585357992859,-0.125170591077937
"impaired","mcar","severe","sector_3",0.233056795206543,0.254145173596871,0.18,0.194585357992859,0.0384714372136837
"prepared","mnar","mild","sector_3",0.130889646949623,0.106261910927898,0.18,0.194585357992859,-0.0636957110432364
"impaired","mnar","mild","sector_3",0.194332754047901,0.114063296801316,0.18,0.194585357992859,-0.000252603944958379
"prepared","mnar","severe","sector_3",0.120550954314836,0.104494679775823,0.18,0.194585357992859,-0.0740344036780232
"impaired","mnar","severe","sector_3",0.183906322886258,0.142091239010281,0.18,0.194585357992859,-0.0106790351066009
"prepared","noise","mild","sector_3",0.127655507765217,0.108538811590292,0.18,0.194585357992859,-0.0669298502276419
"impaired","noise","mild","sector_3",0.168690381022008,0.110212391635539,0.18,0.194585357992859,-0.0258949769708511
"prepared","noise","severe","sector_3",0.0552424140262293,0.10751070831768,0.18,0.194585357992859,-0.13934294396663
"impaired","noise","severe","sector_3",0.0716847365387069,0.105260506038183,0.18,0.194585357992859,-0.122900621454152
